S0133,Sony 52" TV,Electronic,1200.00,400
M128,Samsung HG Refrigerator,Appliance,2550.00,300
P0952,Panosonic G100 Camcoder,Electronics,125.50,100
SH100,Sinkeater H100 Disposal,Appliance,89.95,500
S0242,Sony F100 Blue Ray Player,Electronics,99.99,350
M7522,Samsung EH Electric Dryer,Appliance,550.00,135
M7525,Samsung WH Washer,Appliance,625.25,120
M7533,Samsung GH Gas Dryer,Appliance,685.00,45
G100,GE K100 LED LIGHT BULB 6-PACK,Electrical,37.50,1000
G80,GE K80 LED LIGHT BULB 2-PACK,Electrical,15.75,435
